a,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h,h
74115,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
0,3.36777869765522e-18,-0.01,0.01,-0.00499999999999999,0.005,-0.015,0.015,0.02,0.01,5.20417042793042e-18,-0.01,-0.02,0.025,0.015,0.005,-0.00499999999999999,-0.015,-0.025,0.03,0.02,0.01,6.93889390390723e-18,-0.01,-0.02,-0.03
0,0.055,0.055,0.055,0.0636602540378444,0.0636602540378444,0.0636602540378444,0.0636602540378444,0.0723205080756888,0.0723205080756888,0.0723205080756888,0.0723205080756888,0.0723205080756888,0.0809807621135332,0.0809807621135332,0.0809807621135332,0.0809807621135332,0.0809807621135332,0.0809807621135332,0.0896410161513776,0.0896410161513776,0.0896410161513776,0.0896410161513776,0.0896410161513776,0.0896410161513776,0.0896410161513776
